Id,date,region,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,ovd,place,number_of_detentions,links
94,24.07.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,ЛГБТ,LGBTQ,другое,Other,ЛГБТ-акция у здания детской библиотеки,,ОВД Якиманка,Калужская площадь,6,"http://ovdinfo.org/express-news/2013/07/24/lgbt-aktikistov-proderzhali-v-ovd-sem-chasov-i-obvinili-v-propagande, http://ovdinfo.org/express-news/2013/07/24/naprotiv-detskoy-biblioteki-zaderzhany-6-uchastnikov-lgbt-akcii"
95,31.07.2013,Москва,не согласовано,Unauthorised,митинг,Rally,Стратегия-31,Strategy-31,Стратегия-31,Strategy-31,Стратегия-31 в Москве,,"ОВД Красносельский - 4, ОВД Мещанский - 4, ОВД Басманный - 12, Лимонов - ОВД Тверсокй ",Триумфальная площадь,22,"http://ovdinfo.org/express-news/2013/08/01/poslednie-dva-aktivista-vyshli-na-svobodu-iz-basmannogo-ovd, http://ovdinfo.org/express-news/2013/07/31/ildara-dadina-nazvavshego-svoi-dannye-v-meshchanskom-ovd-ne-mogut-opoznat, http://ovdinfo.org/express-news/2013/07/31/aleksandr-makarov-gospitalizirovan-v-29-gorodskuyu-bolnicu-s-podozreniem-na, http://ovdinfo.org/express-news/2013/07/31/ocherednoe-izbienie-v-avtozake, http://ovdinfo.org/express-news/2013/07/31/prodolzhayutsya-zaderzhaniya-na-triumfalnoy-ploshchadi, http://ovdinfo.org/express-news/2013/07/31/na-triumfalnoy-ploshchadi-zaderzhano-eshche-12-chelovek, http://ovdinfo.org/express-news/2013/07/31/na-triumfalnoy-ploshchadi-v-moskve-nachalis-zaderzhaniya"
96,01.08.2013,Москва,не согласовано,Unauthorised,митинг,Rally,националистическая,,другое,Other,Акция футбольных фанатов и националистов,,,Манежная площадь,100,http://lenta.ru/news/2013/08/01/manezh/
97,06.08.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,ЛГБТ,LGBTQ,другое,Other,Серия одиночных пикетов сторонников ЛГБТ у здания МВД,,ОВД Якиманка,Житная улица,3,"http://ovdinfo.org/express-news/2013/08/07/lgbt-aktivisty-vyshli-na-svobodu-iz-ovd-yakimanka, http://ovdinfo.org/express-news/2013/08/06/okolo-zdaniya-mvd-byli-zaderzhany-tri-aktivista-na-lgbt-akcii"
98,08.08.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,социальная,Social,другое,Other,"Акция в поддержку многодетных матерей у офиса ""Единой России""",,ОВД Мещанское,"Переяславский переулок, 4",2,"http://ovdinfo.org/express-news/2013/08/08/zaderzhannye-u-ofisa-er-otpushcheny, http://ovdinfo.org/express-news/2013/08/08/u-ofisa-edinoy-rossii-zaderzhany-ildar-dadin-i-mariya-ryabikova"
99,09.08.2013,Москва,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,другое,Other,Пикет в поддержку Ильи Фабера,,ОВД Китай-город,Красная площадь,2,"http://ovdinfo.org/express-news/2013/08/09/romana-valeeva-otkazalis-gospitalizirovat-v-13-oy-gorodskoy-bolnice, http://ovdinfo.org/express-news/2013/08/09/petr-farber-otpushchen-na-svobodu, http://ovdinfo.org/express-news/2013/08/09/petr-farber-i-roman-valeev-zaderzhany-vo-vremya-piketa-na-krasnoy-ploshchadi"
100,09.08.2013,Москва,согласовано,Authorised,агитация,Agitation,выборы,For fair elections,штаб Навального,,Агитация за Навального,,ОВД Крылатское,ст. м. Крылатское,2,http://ovdinfo.org/express-news/2013/08/09/policiya-zaderzhala-aktivistov-predvybornoy-kampanii-alekseya-navalnogo
101,10.08.2013,Москва,не согласовано,Unauthorised,одиночный пикет,One-person picket,социальная,Social,другое,Other,"Акция многодетных матерей у офиса ""Единой России""",,ОВД Мещанское,"Переяславский переулок, 4",6,"http://ovdinfo.org/express-news/2013/08/10/zaderzhannye-u-ofisa-edinoy-rossii-otpushcheny-na-svobodu, http://ovdinfo.org/express-news/2013/08/10/6-chelovek-zaderzhano-u-ofisa-edinoy-rossii, http://ovdinfo.org/express-news/2013/08/10/u-ofisa-edinoy-rossii-razognan-lager-mnogodetnyh-materey, http://ovdinfo.org/express-news/2013/07/10/zaderzhannye-u-priemnoy-er-vse-eshche-v-ovd"
102,11.08.2013,Москва,не согласовано,Unauthorised,пикет,Picket,социальная,Social,другое,Other,"Акция многодетных матерей у офиса ""Единой России""",,ОВД Мещанское,"Переяславский переулок, 4",1,"http://ovdinfo.org/express-news/2013/08/11/irinu-kalmykovu-sobirayutsya-ostavit-v-ovd-do-suda, http://ovdinfo.org/express-news/2013/08/11/okolo-poludnya-zaderzhana-irina-kalmykova-u-ofisa-edinoy-rossii"
103,12.08.2013,Москва,не согласовано,Unauthorised,акция,Direct action,выборы,For fair elections,Братья Навального,,Акция сторонников Навального у мэрии,,ОВД Тверской,"Тверская, 13",2,"http://ovdinfo.org/express-news/2013/08/12/bratya-navalnogo-ustroivshie-utrom-piket-u-merii-otpushcheny-na-svobodu, http://www.novayagazeta.ru/news/79186.html"
