Id,date,agreement,agreement_eng,event_type,event_type_eng,subject,subject_eng,organizer,organizer_eng,description,description_eng,place,number_of_detentions,links
189,07.10.2012,не согласовано,Unauthorised,акция,Direct action,антиПутин,anti-Putin,стихийная,Spontaneous,"Акция ""Пора покарать диктатора Путлера""","Action ""It's time to punish the dictator""",Площадь революции,5,http://ovdinfo.org/express-news/1025
192,07.10.2012,не согласовано,Unauthorised,прогулка,Stroll,антиПутин,anti-Putin,стихийная,Spontaneous,Задержание активистов,Activists arrested,"Китай-город, Лубянка",17,"http://ovdinfo.org/express-news/1016, http://ovdinfo.org/express-news/1014, http://ovdinfo.org/express-news/1015"
190,07.10.2012,не согласовано,Unauthorised,пикет,Picket,политзеки,Political prisoners,стихийная,Spontaneous,Задержание активистов,Activists arrested,Овд Китай-город,2,http://ovdinfo.org/express-news/1027
191,07.10.2012,не согласовано,Unauthorised,прогулка,Stroll,политзеки,Political prisoners,стихийная,Spontaneous,"""Прогулка свободы""","""Freedom Stroll""",,10,http://ovdinfo.org/express-news/1022
193,09.10.2012,не согласовано,Unauthorised,пикет,Picket,другое,Other,стихийная,Spontaneous,Пикет слушателей Радио Свобода,Picket listeners of Radio Liberty,Новинский бульвар,1,http://ovdinfo.org/express-news/1032
194,11.10.2012,не согласовано,Unauthorised,акция,Direct action,политзеки,Political prisoners,стихийная,Spontaneous,Акция в поддержку узника 6 мая Владимира Акименкова,Action in support of 6 May prisoner Vladimir Akimenkov,Красная площадь,9,http://ovdinfo.org/express-news/1034
195,11.10.2012,не согласовано,Unauthorised,одиночный пикет,One-person picket,политзеки,Political prisoners,стихийная,Spontaneous,Задержание С.Кривова на #оккупайск,Arrest at #OkkupaySK,следственный комитет,1,http://ovdinfo.org/express-news/1036
196,12.10.2012,не согласовано,Unauthorised,агитация,Agitation,антиПутин,anti-Putin,Солидарность,Solidarity Movement,Задержания перед митингом в поддержку Евгении Чириковой,Arrests before rally in support of Eugene Chirikova,Химки,5,http://ovdinfo.org/express-news/1046
197,12.10.2012,не согласовано,Unauthorised,другое,Other,другое,Other,стихийная,Spontaneous,Задержание журналиста,Journalist arrested,Новая площадь,3,http://ovdinfo.org/express-news/1042
198,13.10.2012,не согласовано,Unauthorised,прогулка,Stroll,политзеки,Political prisoners,стихийная,Spontaneous,"""Прогулка свободы""","""Freedom Stroll""",Гостинный двор,1,http://ovdinfo.org/express-news/1048
